id,eur
0b7acd81-1fcb-4758-95f4-e64cb696c9d2,57.98
0bb0349e-38b8-4750-b5c8-a831e6b20aea,325.00
0bc1dbbf-73a7-4f79-b499-4668c853d958,30.41
0c58f236-0b2c-4b71-8819-1beaea7ded17,29.93
0c8b1f49-550e-405f-b17c-1d94589494ad,53.72
0c9ac08c-11ce-4e8a-8ea8-c18cfc745ac7,137.18
0c9c514f-f506-4b2c-af58-79922834cde7,20.10
0c9ebec9-3474-4062-9607-2e2a72f78299,26.71
0cadfe0e-9cdf-4e64-b143-f996c76bf93b,27.34
0cb33b46-4d1b-4f97-bfdc-d815aee111da,40.69
0cb4cef5-99e4-4855-a782-801b2cb974ec,871.00
0cb6cbbe-c3e9-4d14-a6b8-fb74e6a02b33,790.18
0cc818c8-32b7-4f15-9db5-0aacb92296b1,443.84
0ccd5597-2d4e-4f3e-94b7-46783486853a,51.42
0cd2a4f9-8f80-4ee3-8068-73e686d6eeb9,56.42
0cd81355-8e02-4103-8707-d502ccb4fee8,299.99
0cf789e7-045c-4ad1-abc3-23eabda54f02,29.50
0cfc4614-f6c1-4247-ab96-5bd41006ad85,64.09
0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,897.31
0d42f473-3e3f-4441-b7ee-6819a3a8f52e,46.26
0d446f70-cdbf-4ac3-81db-6fe77e064dd0,443.84
0d77c149-cca2-45c7-bc83-5ba1872ad5e0,23.31
0dccb71b-a25a-4ef8-b2ab-716fd38dcc0b,25.78
0dd4d070-38cf-4517-8152-84c9fcf2c984,21.80
0ddb98e8-13fe-4786-83f7-b72c56db135a,24.45
0de4df3c-ac5a-4cff-9fbc-9269991224f9,25.36
0dee69f8-cceb-41b9-a0ee-6b2ac9f4bad9,28.14
0df55e3f-14de-46ef-b6b1-616618724d9e,756.92
0e13f735-54fa-42b6-aea4-ced33811d7d4,22.70
0e2181c0-e0ff-4e5e-b59c-0e389642d45c,29.90
0e818a8b-d0b1-4524-91b7-89ee03d12e41,61.00
0e863861-eb0d-4f86-9770-bd32b8227d07,22.56
0e8ccfa7-4178-476a-a155-0ca1c98556c9,29.79
0e94d334-e043-42f2-ba5c-be497d82f2c8,95.95
0e9ad288-d164-44a6-96ec-4185a1587f1a,38.83
0e9aeaa8-9a75-4719-992f-cbb316f72175,1829.25
0eb8f591-d763-49bf-8ef9-86265aaa72f7,24.80
0ee4a931-5d61-49ba-affc-f022263938ca,45.37
0f1cebcb-0e3f-4dce-81ff-44bc8c0b9ad7,31.83
0f2917bc-d7db-4b7b-8366-6c992869603f,102.11
0f2c32a0-ee97-4239-94e3-aabab91dab83,736.64
0f45e837-7b98-46ef-b21b-e3508ce999e5,51.67
0f61e93f-5f97-4c7d-b3d5-0e05242faeb3,22.26
0f7585c8-9e21-4eef-afc1-2852de23db2f,74.38
0f84d676-5327-454c-a033-b4498a9d28e2,20.46
0f9668ba-d26d-4484-b4b8-6fb91fbfb617,28.09
0fad0e0d-f34a-45ff-9f01-e6ac10b6928f,33.03
0fb05d34-05cb-4536-b7e6-2d526dc30a9f,25.55
0fbb8533-9404-4af0-a14a-1e136eacdb3a,86.72
0fc3ed63-96ee-420c-bde1-e0c904059931,27.49
0fd4c537-e2ef-4c6f-93d0-f427a40c1cf5,37.55
0fe474af-55bb-4732-abaa-350984d5d7e5,20.84
0ff7858d-f18d-4e5a-9467-ebef3ef53ac1,36.65
1045bdc7-6fbb-4b63-9798-a2a993f95bc2,41.77
104b4849-cfa0-438a-b01e-71995960aedf,285.00
1066a94a-8e4f-4d77-820b-7a77a18116f0,27.16
107ea1fe-167f-4a79-b0f1-f76dce2e6b0a,39.27
10a4e202-b564-4ac8-8bdf-a2a563662563,969.53
10d42b35-844f-4a64-9981-c6118d45e826,31.89
10f58d3b-d68b-4b23-b564-a181c2f22fa7,52.67
11130547-391b-4fe7-8821-ef9514f6073f,24.99
111a16a2-e875-4756-80db-290f9e8606db,52.52
115400ae-a43b-4b3d-9ea0-be1e7224dea5,21.20
11600105-56c6-4073-a4a6-8469030b39c9,26.62
1164f22f-2706-4f35-9f58-d0eb8c344396,1690.17
1175b8f8-859f-4930-9725-2d2afea3703d,28.87
1177787f-bf1e-438b-9615-97d03b04128c,22.23
1183d4d7-094b-4024-ab1d-23c458cb7e71,37.42
11a1cfc1-0bfc-40e8-b57f-f267bf9b6542,72.44
11add837-7ee4-4104-b031-c161bce459ae,28.42
11dca9ba-b27f-4af8-9962-3794e743886f,94.66
120139f9-3dc5-482f-a70c-7c6a4f264c19,20.91
120be808-ff3b-4fca-96a1-4db6b9825856,48.29
12164aee-6a27-4246-8d15-2d6dd20d92e9,62.44
125a355d-bfcf-4125-aa6c-35e7dea6f63e,29.22
126ea71a-9a64-4d1e-a8ca-1efce3b8346f,88.59
12926dc8-8e6f-4a47-a12b-4d674189615a,1478.37
13186bc9-8d9c-433b-ba15-121ef94dd68a,33.14
131cb967-9569-4fbf-8143-c410d3a94538,32.07
133204e4-fef8-4851-aa50-c96ffa35b802,6314.64
133315bd-3c46-4eff-938e-4dba63631c1b,71.66
135de5c7-6ac9-4b68-8f1a-97f120a4b125,3774.59
13788423-db82-4e76-83ad-3f812a4d547a,747.52
1381c8f1-a292-4bdf-b20c-a5c2a169ee84,39.43
13a68a17-22ee-47c9-870a-83e911862b94,844.52
13d7e352-4d01-4947-a76f-f8a01dd876cc,20.95
140d4a7b-95b6-4911-99b5-7e8586255fc7,36.99
140e567c-6e4a-42b0-8084-d6c9695ae802,40.29
141451e7-eb21-48ab-bf9f-632f4ea632bc,33.81
14c45416-a826-42e9-9967-8838158cf16d,23.83
14ffcd73-dfb2-4056-a7a4-d71c4c7c9ef7,379.81
153983dd-54dc-420d-9249-665b0d669614,27.38
15c34447-b0f4-4fcc-b557-23c92850b31b,36.12
15ce92a3-0d51-4c8e-bbce-d225021b4c35,52.70
15faa763-b897-4e86-b094-73f3236291a9,24.23
160cf235-6463-4e16-a426-8b5be76b10d2,108.94
16114a68-58d1-4aad-9b3a-890e9c84b253,26.61
16779471-4636-4a10-9c6a-3eb5fac405ef,38.83
1685e8ee-1c6a-4d9c-8ca7-e08590089818,29.15
16c8d2fa-54a7-46e8-980c-905258497c90,26.08
16cbac60-fd88-4369-942e-e8a1d16f7300,762.78
16cd79f1-88dd-40a0-b348-6eb6757e3b13,42.99
16ead969-8ba4-4587-a68d-47730943605e,56.14
17518e8e-46ad-4730-b10b-b8875c0536b6,25.12
175e21a3-00f7-4c51-8a8e-fbfd7089efda,30.97
176f84c6-aa5e-449c-bd2b-cc91a898f0c7,22.14
17788434-47c5-4290-8555-adc8171d55cd,26.46
17c6ba55-2470-4dde-a7fa-137a60716c96,42.31
17db2b6a-eaa8-4a08-9e86-370bbd058574,2767.40
17f4d2a5-bb85-4662-b2dd-a363ec7eab9b,26.67
17f91d5f-b717-4ff4-a598-6d57c22dd802,21.37
17fc3a85-c6b9-4fd2-a6a2-d3210708e5ea,124.50
17fc8e0f-6dba-40d6-a6f9-3eb505059727,39.63
180679fa-b820-4793-8f2e-a2d8791192d5,49.07
1825a719-1b2a-4af9-9cd2-7cb497cd0317,50.99
18348df2-9037-4db4-bddb-76dc933229bf,144.23
18381713-3f20-4d5d-8cd4-f3d1fdfad4f4,94.59
1858ac51-e6a7-48d7-8759-166070ca13d8,20.04
18607bf6-ce11-41cb-b001-0c9538406ba0,88.84
186fd917-8d65-4de5-8546-a32a5f6d3bab,23.75
1875542d-8a51-48e2-a2f2-ccef96a7aa77,879.90
18787a2d-6688-47e9-94bc-ccf229df823f,397.88
188b275f-a17a-4ee5-93eb-e7ed6e6346bc,35.11
18a1bb9e-006c-495e-8f99-d451183d2669,27.01
18adbda4-8d36-47cd-afbc-c785aaa8ed80,25.30
18bd50f2-c3ba-4217-a2d5-bb771e199706,40.37
18cc2bc6-12bb-4795-b2b2-9d414823b773,29.24
18e286b0-b4c4-4b42-ba11-2eec962fee8c,26.35
18f53d47-fd5c-41de-8d7a-490c1b529f4f,25.04
19080c3f-67fa-4f98-9b5a-ede8579823d6,27.19
193071fe-180b-4d35-ba78-9c16675c29fc,29.59
1941cf19-b1f6-4148-a1de-6d03531f2f1c,45.63
19499cb7-eccb-4e69-af32-6002d447a160,1608.22
1954e618-b4ac-48d8-9218-b29878bae710,36.04
1982f910-a9bd-4e94-a187-84381b22aacc,80.50
19992dbd-7a6a-43d3-b1db-01716b2eed27,35.34
199e3667-33be-415f-8f10-1c42a78d7637,91.44
19e1224f-82cb-4f41-8739-f880cba61bbb,32.63
1a5fe13b-f719-446f-8651-9d5ee36abdb1,263.20
1a708266-e3e9-4d25-a75b-80671bf36f5e,70.87
1a96315d-edc6-4d68-a260-d14f61281dc1,57.16
1aa28b92-6e79-4907-af6b-e153eb60f567,22.16
1aae46bb-15d3-4049-9eae-86c6c5b5dcff,21.73
1ac01fff-4de6-4783-9489-4127e25bc641,34.24
1ac9577f-dd41-4e1a-a96b-6b615297425a,53.63
1b15d04c-62cb-4704-8cc7-9842cef27a1b,33.51
1b234fee-a2b6-4661-9f98-4da6fc26aebc,29.82
1b258c47-48b8-4787-9af7-1635cc17dff6,28.76
1b342dd3-09b9-4108-bf12-a65d4cef4eb9,30.40
1b486b75-4680-4a94-af8c-c1c335c9782b,32.00
1b93ce48-219c-49ea-9ad0-b7357bea4606,3421.73
1bd40caa-0cbb-426d-a988-1d826988e707,27.74
1bea2eb6-dfae-4bdc-9ab3-b2b491c69c59,24.96
1c1a1278-b221-4d31-8625-062f96453b6b,140.00
1c3fc61c-c26e-47f3-a1eb-f6f10f8469e2,60.62
1c473253-3992-4cc1-8b46-5d1da308c537,69.03
1c4b515f-732d-415a-bc1e-6f1022150ebd,21.82
1c829d83-d5b8-4be7-80f7-55b42f52b309,21.85
1c9675fb-1a89-420f-aea8-50e0642f549c,28.35
1cb16046-10bf-433a-acaf-7127c0954a1c,32.47
1cb9d405-f2b5-4e10-a405-feafd2a87d90,701.58
1cdd8e69-5a71-4933-914e-dfede7b1ac93,20.62
1d2750d1-ca70-4a36-bff3-bc95faf2f58b,21.28
1d842f91-a04c-4b11-8ac9-0c0536b82d03,40.35
1d8b9830-2b79-44d1-a2f7-964194521d9e,335.00
1db2c9c2-e087-45b9-8cc8-e0bd3f333ed8,90.32
1dba16d3-292d-430c-88cc-c49ded13effb,63.47
1ddfceae-b9d0-4de8-aaf1-c12f780536c6,470.95
1df4c9a2-8d26-4075-8ee1-b5b848ef5e31,1100.00
1df66b60-9107-44d8-a013-24732b226c16,45.29
1df7007b-9e17-4957-8f52-fa78ba7721b4,21.62
1df98d4a-0f11-4064-a113-54ab14b9b3eb,25.04
1e03d335-d259-4ab4-814f-9333cfd3afc9,33.80
1e07f838-a813-43aa-9bcf-9f62797d7313,23.07
1e10013c-0dbc-4153-8937-f612ffd93d2f,64.04
1e180975-c62e-46a8-bb22-e4fcbfcb5e3e,99.99
1e1f470f-1194-4a87-ab6e-3574f5731642,21.96
1e3fe454-a3b3-4fcf-8d00-5bdfe077298e,199.99
1e5e5f25-41c8-4626-bb14-a121167a9d79,25.38
1eb2e494-1414-4d1f-91d2-7cb20acdb128,27.57
1eb3178b-dac5-4b34-9d3e-4f5a170d1c87,6591.32
1eb34f51-0bd2-43c3-af95-2ce8dabcc7bb,22.16
1ecc64b6-6f2c-4b20-aa80-54cc47382606,28.61
1eced352-d49c-4e91-a368-52904d77a69d,127.76
1ee65b44-eeb6-418b-b022-a0aef587c738,21.16
1f152529-8aa7-4f5a-87e9-09c1e521520b,55.50
1f35877c-e66c-4ef0-842a-f68cd233ae4b,715.19
1f372950-6693-4838-80ef-8fd9aa3e0349,43.82
1f4b6f5a-1ba2-409d-9b9b-91e2c1470f62,38.62
1fadf1e3-4f4f-4f58-b8a9-11e14bb550f8,23.17
1fbb4493-23db-4c91-a3e0-17b139f5d00f,26.59
1fc6b109-4657-4e9e-82f3-53ddd56aef1c,39.76
1fdf9438-fd5f-4638-8f41-dae35ae8f257,29.33
1ffb0ecd-1326-43d8-9a68-39bc238e5d3c,30.16
20094a0c-ea67-4c62-811a-5225f70d41f4,85.00
2050d414-71c7-4c42-a1ff-4c04068ba7f2,99.00
205c4689-8b02-4d40-9274-3c1fcafa8b82,24.15
2064a0d6-3739-4466-9657-be694c0eb6e1,35.79
2073ca8b-2bca-4539-94d7-989da157e4b8,30.98
209c591a-4ab2-4e89-9523-a7b766cf4e51,32.06
209f7479-b3a0-4c27-9602-78babb8d2e99,44.31
20b7357c-7afc-466a-b74c-a7a8a4c5a4b1,32.25
20b7cb55-16bf-4329-a711-3dbcdaab728b,22.72
20bb8c55-4b0b-425f-8201-b54fa2fdde86,39.99
20c9c856-af15-40b1-a799-1c2066df2099,43.16
20d5059a-60a4-4135-863f-85a48bff8731,272.26
20d666ef-39bf-4fbf-8201-5f1056539da2,58.34
21004958-2c7e-4a55-bc80-411c4d780106,77.07
210c4a90-fc7a-4c76-aeaa-20a005e45386,845.36
21152782-15ac-47c1-affe-1bf093ecb79e,41.82
2135ac5a-187b-4dc9-8f82-34e8d1603416,41.50
2138dfbb-a4e3-49db-b908-95d0b2b7e82f,39.98
214828eb-434c-47ed-b4af-faaa6c784fb4,25.26
214ec172-bd8a-42ec-9fb0-282e8f7b1cc2,21.60
21551cb6-3a53-42dd-9bbd-4bc56304d6d3,1801.19
21755311-ccad-4d86-ba47-0060a6c4cfff,24.90
2183848b-c0ad-46a0-a017-e60210c4c6b7,7022.05
2189b1cb-94c4-4477-a5ef-17a1ae2c6708,115.52
21b7cbae-6647-4f36-b02d-5535ac88b1a6,2883.71
21f348f7-f14a-4752-a4d1-d8becffa1ba8,28.67
21fd184c-326e-4045-86e4-5867bc7579c0,45.06
220a03ca-8c9b-4acb-821d-f6577fbb20fb,44.07
222cfbec-8839-43fa-95a0-2ea91b59515c,24.63
225e3cc6-34d0-4f81-9f49-162d97e2ea59,29.48
2271862c-b1df-45f8-bb19-ae4b8ab0739e,33.61
228abefc-9f64-4d64-ad58-41b0201eb82e,33.68
228b4677-a00f-47f9-819b-88c003ac080b,22.81
229ecfc9-8d6b-4fdb-9001-64dc3e4e7a3f,29.66
22b5b5ef-9b8d-4ace-86db-21ce00b29928,30.20
22b85759-532d-4632-a2e0-c598597133a8,21.30
22cd80dd-1c57-423c-81e2-9a956901565f,42.87
22d1b078-9175-45ab-8fbe-ed4af2abde1f,38.86
22e22287-21c5-4733-a527-b176fbf3725d,29.25
22ea73ec-1325-4437-a23f-dcda1767c713,30.30
2340edcb-8cd5-4ccd-99e2-b9a29f72c495,94.94
234b53a3-cf34-46dd-a556-653e2348c5da,44.80
235c0ece-aed0-4120-99cc-5d0e28fa70ab,150.37
23614289-0d73-4747-a849-5cb67cc97d6a,30.99
236a1f7c-3ca9-4029-9064-4c215d02137a,23.83
2371c126-f19a-472a-ba5f-3b1366274ea0,29.93
23749375-1416-47a4-9251-52f41fe2fae9,990.18
2383a8d9-96fd-4f9a-bcf9-eb81fdb15ead,27.50
239a5d29-95cf-468a-8b07-aea1f7dc8d52,281.78
239c8547-207b-41d1-a2be-8825bfc6ef7f,204.88
23d8e67a-5150-4782-98d1-da2ca79607ad,28.22
23dd9551-c686-465e-92a1-2e668f266bd2,24.36
23df4919-1a2f-489a-ad21-e8df0e2847ee,20.33
23eb19f9-2e8f-4bf0-9bf8-868e6da70e2d,34.24
2401d2a5-f65b-4a13-906c-999990589a1e,21.45
240b3b04-6ad4-42cb-bb4d-e1d486667675,21.64
2429510d-ce59-472d-b0df-5e6b7cdf63af,45.76
24584ffa-8ed1-4930-b6d8-ac1d02738ed0,20.45
245e16ae-4514-42fa-b409-2c3ae084436c,35.80
24626988-81df-44c9-9a8e-ecb9f82c383b,475.09
247a2ba4-aa5d-4970-b886-90196f684f80,35.10
2488a80b-6882-4b59-8232-f02f800204a9,41.23
248add6e-bf11-4378-90c3-49e154fa54e5,30.54
248c76d3-b5cb-4582-be17-7cd1d0cb0f58,23.28
24a5cc2c-0fbf-4a5f-b175-6e0ffd0d0787,25.72
24afe08b-6b88-42b3-a996-33f138431a87,49.95
24b2acd2-ad1a-468c-bacf-00d94f642e6d,21.52
24bfbb10-409f-4885-b792-73958250a65d,143.12
24d9a4d3-e1d2-42ae-bca4-02bc2cf69c9d,52.61
25158cd5-749b-408c-9ab1-0f83e38730f7,46.24
255099be-c64e-4f6a-8463-4fc058d6908d,479.86
25929dd3-f4d5-4888-ba2f-389950960f86,30.94
25976cb2-3123-4935-adcc-70e3db51d381,40.66
25ac5405-df7b-4097-914a-022cb18e20d4,26.74
25ad2444-9985-423c-ad36-387218866409,22.92
25ae9afd-7d97-4a24-8e22-fc9eaeeb9389,350.00
25b0b816-0583-44aa-9dc5-f3ff48993a51,1160.65
25b9319e-1a6f-4e7e-b69d-1c0de558b14d,32.07
25fbffba-7266-43f0-adb0-ca9bafeb782e,22.19
2626d4c9-fcef-4057-a154-7d987a4a4b84,26.76
26343f80-4d60-407a-a44a-ee6295d2e5ec,24.47
268403bc-733d-446e-a7c1-abc957c42bc2,77.29
268f6afc-bf16-4ca7-a986-945a95d3bffc,24.26
26a7c62c-12ed-493c-ba95-0f55fec83686,25.40
26df2161-e168-4ea4-8848-fae9cebf160c,23.76
26e090d4-e7fe-403c-9aca-05c1b45ed238,451.66
2705117e-c1bf-464a-9dc8-58ee2ce00d1c,317.41
2713f2b0-5dbd-4777-b5b3-0c99a55ca6f1,703.96
271df2c5-04c4-49f4-82fd-bdde9f1fa779,760.00
2722d7e2-61c6-4934-9c21-875ee78fd06c,79.63
273fb2b6-3d11-4f0d-9fb0-0364353c2060,123.41
27611498-176f-435a-91ad-f97e8c5d26de,44.13
2765545b-5e2d-4d4c-b126-93415774a2e9,34.20
27b52628-de05-4ec1-9978-e998cf17bb26,23.24
27d7ac1f-2243-4c70-95a4-2b7343c8d92d,328.64
27db5cf4-e023-4bd8-9f51-4dc42957007e,22.92
27f916a2-0ace-44b5-99dc-72979af34db9,356.39
28028830-83ed-45e2-b495-3b9ad9d3e988,835.47
281172b9-15ce-4128-afe5-17cd47d87dc9,36.67
285e4f85-c54b-4dda-9b59-fca7a2626671,21.49
287ba07e-6434-4850-940f-454fcab3f535,36.46
28a11489-11c5-4018-aab8-c9d036638414,74.70
28ce1dbc-508c-4d09-8e44-37bf5ebfdc8f,35.04
